// brief monster list
//
// humanoid:
//    humans (@):   bandit (2), cutpurse (3), soldier
//    kobolds (k):  kobold (1), kobold chieftain (3), kobold shaman
//    goblins (g):  goblin (2), gnoll (3)
//    orcs (o):     orc, ogre
//    trolls (T):   troll, ettin
// giants (G):
//    mountain giant, frost giant
// feline (f):
//    scrawny cat (1), jaguar (3), panther, tiger, lion
// canine:
//    dogs (d):     scrawny dog (1), hound (2), large dog (3), hell hound
//    wolves (w):   grey wolf (2)
// undead (z):
//    skeleton (1), zombie (2), ghost, lich
// mammal:
//    giant rat (1), brown bear (3), grizzly bear
// insects:
//    ants (a):     giant ant (1), ant queen
//    spiders (S):  giant spider (2), cave spider (3)
//    other:        giant centipede (1), carrion crawler
// reptiles:
//    lizards (l):  giant lizard (1), rock lizard, komodo dragon
//    snakes (s):   large snake (2), large yellow snake (3), python
// jellies (j):
//    ooze (2)
// aquatic:
//    fish (f):     fish (1), piranha (2)
//    merman (m):   merman (3)
// flying:
//    bats (b):     large bat (1), blood bat (3), vampire bat
//    birds (b):    raven (2), fire crow
// dragons (D):
//    red, green, black
// robots (R):
//    cyborg
// bosses:
//    thanatos, draconis

//
//
// level 1 monsters
//
//

monster_type "giant rat" {
	type = "mammal"
	icon_color5 = "0,133,0"
	article = "a "
	level = 2
	attack_rating = 12
	defense_rating = 12
	health = "2d4"
	damage = "1d4+1"
	xp = 10
	ai_neutral
	land
}

monster_type "giant spider" {
	type = "insect"
	unidentified_name = "spider"
	icon = "S"
	icon_color3 = "150,126,76"
	icon_color2 = "150,120,60"
	icon_color = "80,60,20"
	icon_color4 = "44,38,26"
	icon_color5 = "30,20,1"
	article = "a "
	level = 2
	attack_rating = 15
	defense_rating = 11
	health = "2d4+1"
	damage = "1d6"
	xp = 10
	ai_hostile
	land
}

monster_type "grey wolf" {
	type = "canine"
	unidentified_name = "wolf"
	icon = "w"
	icon_color3 = "153,162,162"
	icon_color2 = "119,128,128"
	icon_color = "85,85,85"
	icon_color4 = "89,99,99"
	icon_color5 = "55,51,51"
	article = "a "
	level = 2
	attack_rating = 16
	defense_rating = 10
	health = "2d4"
	damage = "1d6"
	xp = 10
	weight = 75
	corpse = 20
	ai_hostile
	land
}

monster_type "hound" {
	type = "canine"
	unidentified_name = "dog"
	icon = "d"
	icon_color3 = "255,182,115"
	icon_color2 = "255,155,64"
	icon_color = "255,122,0"
	icon_color4 = "191,117,48"
	icon_color5 = "166,80,0"
	article = "a "
	level = 2
	attack_rating = 12
	defense_rating = 12
	health = "2d4"
	damage = "1d4+1"
	xp = 10
	weight = 50
	corpse = 15
	ai_neutral
	land
}

monster_type "goblin" {
	type = "humanoid"
	unidentified_name = "goblin"
	icon = "g"
	icon_color = "100,223,100"
	icon_color2 = "56,223,56"
	icon_color3 = "0,191,0"
	icon_color4 = "36,143,36"
	icon_color5 = "0,124,0"
	article = "a "
	level = 2
	attack_rating = 13
	defense_rating = 13
	health = "2d4"
	damage = "1d6"
	xp = 10
	weight = 40
	corpse = 20
	ai_hostile
	land
}

monster_type "zombie" {
	type = "undead"
	unidentified_name = "zombie"
	icon = "u"
	icon_color3 = "159,101,208"
	icon_color2 = "141,63,208"
	icon_color = "91,11,161"
	icon_color4 = "82,36,121"
	icon_color5 = "58,4,104"
	article = "a "
	level = 2
	attack_rating = 16
	defense_rating = 10
	health = "2d4+1"
	damage = "1d6"
	xp = 12
	ai_hostile
	land
}

monster_type "ooze" {
	type = "jelly"
	unidentified_name = "ooze"
	icon = "j"
	icon_color3 = "100,223,100"
	icon_color2 = "56,223,56"
	icon_color = "0,191,0"
	icon_color4 = "36,143,36"
	icon_color5 = "0,124,0"
	article = "an "
	level = 2
	attack_rating = 10
	defense_rating = 15
	health = "2d4"
	damage = "1d6+1"
	xp = 12
	ai_hostile
	land
}

monster_type "raven" {
	type = "bird"
	unidentified_name = "bird"
	icon = "b"
	icon_color3 = "43,119,123"
	icon_color2 = "24,118,123"
	icon_color = "0,39,41"
	icon_color4 = "10,20,21"
	icon_color5 = "0,12,13"
	article = "a "
	level = 2
	attack_rating = 10
	defense_rating = 16
	health = "1d6"
	damage = "1d4"
	xp = 10
	weight = 3
	corpse = 10
	ai_neutral
	flying
}

monster_type "piranha" {
	type = "fish"
	unidentified_name = "fish"
	icon = "f"
	icon_color3 = "111,97,225"
	icon_color2 = "84,67,225"
	icon_color = "47,28,206"
	icon_color4 = "64,59,105"
	icon_color5 = "7,0,65"
	article = "a "
	level = 2
	attack_rating = 13
	defense_rating = 12
	health = "1d6"
	damage = "1d4"
	xp = 12
	weight = 5
	corpse = 10
	ai_hostile
	aquatic
}

//
//
// level 3 monsters
//
//

monster_type "large dog" {
	type = "canine"
	unidentified_name = "dog"
	icon = "d"
	icon_color3 = "198,248,62"
	icon_color2 = "211,248,111"
	icon_color = "176,240,0"
	icon_color4 = "144,180,45"
	icon_color5 = "114,156,0"
	article = "a "
	level = 3
	attack_rating = 18
	defense_rating = 16
	health = "3d4"
	damage = "2d4"
	xp = 10
	weight = 80
	corpse = 15
	ai_neutral
	land
}

monster_type "gnoll" {
	type = "humanoid"
	unidentified_name = "gnoll"
	icon = "g"
	icon_color = "188,221,255"
	icon_color2 = "206,230,255"
	icon_color3 = "166,210,255"
	icon_color4 = "141,166,191"
	icon_color5 = "54,109,166"
	article = "a "
	level = 3
	attack_rating = 20
	defense_rating = 15
	health = "2d4+2"
	damage = "1d6"
	xp = 15
	weight = 250
	corpse = 15
	ai_hostile
	land
}

monster_type "cutpurse" {
	type = "humanoid"
	unidentified_name = "human"
	icon = "@"
	icon_color = "64,64,255"
	icon_color2 = "48,48,191"
	icon_color3 = "0,0,255"
	icon_color4 = "48,48,191"
	icon_color5 = "0,0,166"
	article = "a "
	level = 3
	attack_rating = 16
	defense_rating = 18
	health = "2d4"
	damage = "1d4"
	xp = 8
	weight = 150
	corpse = 15
	ai_neutral
	land
}

monster_type "kobold chieftain" {
	type = "humanoid"
	unidentified_name = "kobold"
	icon = "k"
	icon_color = "123,47,189"
	icon_color2 = "141,85,189"
	icon_color3 = "66,0,123"
	icon_color4 = "60,23,92"
	icon_color5 = "43,0,80"
	article = "a "
	level = 3
	attack_rating = 18
	defense_rating = 16
	health = "1d6"
	damage = "1d6"
	xp = 10
	weight = 40
	corpse = 15
	ai_hostile
	land
}

monster_type "jaguar" {
	type = "feline"
	unidentified_name = "feline"
	icon = "f"
	icon_color3 = "166,183,200"
	icon_color2 = "175,188,200"
	icon_color = "112,128,144"
	icon_color4 = "90,99,108"
	icon_color5 = "36,65,94"
	article = "a "
	level = 3
	attack_rating = 17
	defense_rating = 16
	health = "1d6"
	damage = "1d4"
	xp = 4
	weight = 125
	corpse = 10
	ai_neutral
	land
}

monster_type "brown bear" {
	type = "mammal"
	unidentified_name = "bear"
	icon = "B"
	icon_color3 = "150,126,76"
	icon_color2 = "150,120,60"
	icon_color = "80,60,20"
	icon_color4 = "44,38,26"
	icon_color5 = "30,20,1"
	article = "a "
	level = 3
	attack_rating = 22
	defense_rating = 15
	health = "3d4+2"
	damage = "1d8"
	xp = 20
	weight = 300
	corpse = 10
	ai_neutral
	land
}

monster_type "cave spider" {
	type = "insect"
	unidentified_name = "spider"
	icon = "S"
	icon_color3 = "116,167,167"
	icon_color2 = "130,167,167"
	icon_color = "47,79,79"
	icon_color4 = "41,59,59"
	icon_color5 = "15,51,51"
	article = "a "
	level = 3
	attack_rating = 18
	defense_rating = 16
	health = "3d4"
	damage = "1d8"
	xp = 12
	ai_hostile
	land
}

monster_type "large yellow snake" {
	type = "reptile"
	unidentified_name = "snake"
	icon = "s"
	icon_color3 = "255,255,64"
	icon_color2 = "255,255,155"
	icon_color = "255,255,0"
	icon_color4 = "191,191,48"
	icon_color5 = "166,166,0"
	article = "a "
	level = 3
	attack_rating = 15
	defense_rating = 20
	health = "3d4"
	damage = "1d6"
	xp = 10
	ai_neutral
	land
}

monster_type "blood bat" {
	type = "bird"
	unidentified_name = "bat"
	icon = "b"
	icon_color3 = "255,64,64"
	icon_color2 = "255,115,155"
	icon_color = "255,0,0"
	icon_color4 = "191,48,48"
	icon_color5 = "166,0,0"
	article = "a "
	level = 3
	attack_rating = 16
	defense_rating = 18
	health = "1d6"
	damage = "1d4"
	xp = 5
	weight = 2
	corpse = 10
	ai_hostile
	flying
}

monster_type "merman" {
	type = "humanoid"
	unidentified_name = "merman"
	icon = "m"
	icon_color3 = "100,223,223"
	icon_color2 = "56,223,223"
	icon_color = "0,191,191"
	icon_color4 = "36,143,143"
	icon_color5 = "0,124,124"
	article = "a "
	level = 3
	attack_rating = 18
	defense_rating = 17
	health = "1d6"
	damage = "1d4"
	xp = 4
	weight = 8
	corpse = 10
	ai_hostile
	aquatic
}

//
//
// level 4+ monsters
//
//

monster_type "orc" {
	type = "humanoid"
	unidentified_name = "orc"
	icon = "o"
	icon_color = "0,191,0"
	article = "an "
	level = 4
	attack_rating = 16
	defense_rating = 12
	health = "3d4+1"
	damage = "1d6"
	xp = 12
	weight = 200
	corpse = 20
	ai_hostile
	land
}

monster_type "troll" {
	type = "humanoid"
	unidentified_name = "troll"
	icon = "T"
	icon_color = "255,255,0"
	dark_color = "85,85,0"
	article = "a "
	level = 5
	attack_rating = 24
	defense_rating = 20
	health = "3d6+2"
	damage = "2d6+1"
	xp = 30
	weight = 215
	corpse = 10
	ai_hostile
	land
}

monster_type "soldier" {
	type = "humanoid"
	unidentified_name = "human"
	icon = "@"
	icon_color = "95,95,95"
	dark_color = "47,47,47"
	article = "a "
	level = 4
	attack_rating = 16
	defense_rating = 12
	health = "3d4+2"
	damage = "2d6+1"
	xp = 20
	weight = 180
	corpse = 20
	ai_hostile
	land
}

monster_type "vampire bat" {
	type = "bird"
	unidentified_name = "bat"
	icon = "b"
	icon_color = "127,101,63"
	dark_color = "64,50,32"
	article = "a "
	level = 5
	attack_rating = 20
	defense_rating = 25
	health = "4d8"
	damage = "2d6+1"
	xp = 50
	weight = 2
	corpse = 10
	ai_hostile
	flying
}

